fname,lname,Nationality,DOB,team
Sidney,Howlet,0,1/2/2000,0
Alex,Bayliss,0,3/2/2000,0
Kelvin ,Bowden,0,10/11/2001,0
Tim,Hicks,0,10/11/1996,0
Gerard ,Heaton,0,7/11/2005,0
Bradley,Boyd,0,1/18/1996,0
Glyn, Bourne,0,1/4/2003,0
Faisal,Houghston,0,10/20/2000,0
Andrew ,Barlett,0,12/22/2004,0
Brendan,Hobson,0,2/8/2000,0
Matt,Bates,0,12/21/1993,0
Andrzej,Dudley,0,3/7/2003,0
Andy,Newell,0,4/13/2005,0
Michele,Willis,0,1/30/2006,0
Kirk,Lister,0,3/29/1997,0
Dean,Faulkner,0,1/18/1995,0
Douglas,britton,0,5/1/2003,1
Herbert,Law,0,11/1/2003,1
Laurence,Vernon,0,11/11/1997,1
Nigel ,Humphries,0,10/8/1996,1
Jerome,Haywood,0,1/25/2001,1
Malcolm,Haines,0,8/27/2002,1
Neville,Owen,0,9/17/1994,1
Ronnie,Thorne,0,9/5/1999,1
Amit,Smyth,0,7/26/2001,1
Eddie,Pennignton,0,2/23/2005,1
Arnold,Lister,0,7/18/1994,1
Harry,Hales,0,8/31/1995,1
Usman,Khan,0,11/6/2005,1
Leign,Preston,0,1/12/2001,1
Julian,Birch,0,3/15/1998,1
Hassan,Dean,0,6/25/1994,1
Martin ,Meadows,0,8/18/2006,1
